"extract","city","sum"
"2007","Datong","113.70"
"2007","Daugavpils","142.70"
"2007","Davao","123.70"
"2007","Daxian","91.70"
"2007","Dayton","105.77"
"2007","Deba Habe","97.78"
"2007","Denizli","81.83"
"2007","Dhaka","107.74"
"2007","Dhule (Dhulia)","83.79"
"2007","Dongying","101.78"
"2007","Donostia-San Sebastin","107.79"
"2007","Dos Quebradas","134.70"
"2007","Duisburg","126.70"
"2007","Dundee","74.77"
"2007","Dzerzinsk","71.80"
"2007","Ede","103.78"
"2007","Effon-Alaiye","96.76"
"2007","El Alto","85.78"
"2007","El Fuerte","121.70"
"2007","El Monte","74.80"
"2007","Elista","87.82"
"2007","Emeishan","119.75"
"2007","Emmen","92.75"
"2007","Enshi","49.88"
"2007","Erlangen","127.73"
"2007","Escobar","96.76"
"2007","Esfahan","94.76"
"2007","Eskisehir","89.77"
"2007","Etawah","104.75"
"2007","Ezeiza","75.78"
"2007","Ezhou","63.84"
"2007","Faaa","89.78"
"2007","Fengshan","135.68"
"2007","Firozabad","97.78"
"2007","Florencia","97.79"
"2007","Fontana","123.70"
"2007","Fukuyama","127.69"
"2007","Funafuti","93.78"
"2007","Fuyu","146.67"
"2007","Fuzhou","32.90"
"2007","Gandhinagar","69.83"
"2007","Garden Grove","101.76"
"2007","Garland","86.75"
"2007","Gatineau","87.80"
"2007","Gaziantep","83.81"
"2007","Gijn","77.80"
"2007","Gingoog","90.73"
"2007","Goinia","122.74"
"2007","Gorontalo","87.81"
"2007","Grand Prairie","76.80"
"2007","Graz","111.73"
"2007","Greensboro","115.70"
"2007","Guadalajara","89.78"
"2007","Guaruj","107.77"
"2007","guas Lindas de Gois","87.78"
"2007","Gulbarga","70.81"
"2007","Hagonoy","70.82"
"2007","Haining","89.80"
"2007","Haiphong","95.76"
"2007","Haldia","111.71"
"2007","Halifax","89.76"
"2007","Halisahar","154.70"
"2007","Halle/Saale","100.75"
"2007","Hami","81.80"
"2007","Hamilton","85.77"
"2007","Hanoi","83.77"
"2007","Hidalgo","94.78"
"2007","Higashiosaka","98.75"
"2007","Hino","74.84"
"2007","Hiroshima","84.79"
"2007","Hodeida","157.69"
"2007","Hohhot","106.68"
"2007","Hoshiarpur","74.83"
"2007","Hsichuh","144.66"
"2007","Huaian","77.79"
"2007","Hubli-Dharwad","59.86"
"2007","Huejutla de Reyes","112.76"
"2007","Huixquilucan","126.72"
"2007","Hunuco","118.73"
"2007","Ibirit","68.87"
"2007","Idfu","89.77"
"2007","Ife","137.70"
"2007","Ikerre","124.68"
"2007","Iligan","98.74"
"2007","Ilorin","128.71"
"2007","Imus","133.72"
"2007","Inegl","71.79"
"2007","Ipoh","104.75"
"2007","Isesaki","99.78"
"2007","Ivanovo","95.79"
"2007","Iwaki","106.77"
"2007","Iwakuni","114.74"
"2007","Iwatsuki","105.74"
"2007","Izumisano","79.75"
"2007","Jaffna","103.73"
"2007","Jaipur","88.78"
"2007","Jakarta","94.76"
"2007","Jalib al-Shuyukh","106.75"
"2007","Jamalpur","98.77"
"2007","Jaroslavl","71.84"
"2007","Jastrzebie-Zdrj","118.70"
"2007","Jedda","116.76"
"2007","Jelets","101.77"
"2007","Jhansi","112.74"
"2007","Jinchang","129.68"
"2007","Jining","108.77"
"2007","Jinzhou","110.71"
"2007","Jodhpur","76.78"
"2007","Johannesburg","106.74"
"2007","Joliet","117.75"
"2007","Jos Azueta","97.75"
"2007","Juazeiro do Norte","92.81"
"2007","Juiz de Fora","134.73"
"2007","Junan","78.77"
"2007","Jurez","69.79"
"2007","Kabul","67.82"
"2007","Kaduna","78.81"
"2007","Kakamigahara","122.71"
"2007","Kaliningrad","71.85"
"2007","Kalisz","75.81"
"2007","Kamakura","73.81"
"2007","Kamarhati","104.74"
"2007","Kamjanets-Podilskyi","109.72"
"2007","Kamyin","102.77"
"2007","Kanazawa","87.80"
"2007","Kanchrapara","62.85"
"2007","Kansas City","81.81"
"2007","Karnal","116.73"
"2007","Katihar","86.76"
"2007","Kermanshah","93.74"
"2007","Kilis","83.80"
"2007","Kimberley","98.82"
"2007","Kimchon","90.77"
"2007","Kingstown","64.82"
"2007","Kirovo-Tepetsk","120.74"
"2007","Kisumu","105.77"
"2007","Kitwe","121.70"
"2007","Klerksdorp","79.81"
"2007","Kolpino","125.72"
"2007","Konotop","84.81"
"2007","Koriyama","62.81"
"2007","Korla","68.77"
"2007","Korolev","115.71"
"2007","Kowloon and New Kowloon","104.76"
"2007","Kragujevac","130.72"
"2007","Ktahya","57.86"
"2007","Kuching","105.76"
"2007","Kumbakonam","56.84"
"2007","Kurashiki","89.76"
"2007","Kurgan","109.73"
"2007","Kursk","80.85"
"2007","Kuwana","110.77"
"2007","La Paz","95.78"
"2007","La Plata","124.71"
"2007","La Romana","85.80"
"2007","Laiwu","81.75"
"2007","Lancaster","129.72"
"2007","Laohekou","96.75"
"2007","Lapu-Lapu","122.70"
"2007","Laredo","84.75"
"2007","Lausanne","83.78"
"2007","Le Mans","59.83"
"2007","Lengshuijiang","142.67"
"2007","Leshan","113.73"
"2007","Lhokseumawe","122.69"
"2007","Liaocheng","124.66"
"2007","Liepaja","106.73"
"2007","Lilongwe","121.73"
"2007","Lima","120.70"
"2007","Lincoln","112.75"
"2007","Linz","58.83"
"2007","Lipetsk","101.79"
"2007","Livorno","95.78"
"2007","Ljubertsy","106.73"
"2007","Loja","118.75"
"2007","London","174.54"
"2007","Lublin","86.81"
"2007","Lubumbashi","79.78"
"2007","Lungtan","123.66"
"2007","Luzinia","75.78"
"2007","Madiun","96.75"
"2007","Mahajanga","92.79"
"2007","Maikop","145.70"
"2007","Malm","139.67"
"2007","Manchester","85.78"
"2007","Mandaluyong","116.73"
"2007","Mandi Bahauddin","77.84"
"2007","Mannheim","128.69"
"2007","Maracabo","111.77"
"2007","Mardan","103.73"
"2007","Maring","76.82"
"2007","Masqat","78.80"
"2007","Matamoros","71.77"
"2007","Matsue","68.81"
"2007","Meixian","110.72"
"2007","Memphis","167.67"
"2007","Merlo","114.72"
"2007","Mexicali","106.77"
"2007","Miraj","80.81"
"2007","Mit Ghamr","120.75"
"2007","Miyakonojo","116.74"
"2007","Mogiljov","81.76"
"2007","Molodetno","189.60"
"2007","Monclova","91.75"
"2007","Monywa","97.75"
"2007","Moscow","131.69"
"2007","Mosul","111.73"
"2007","Mukateve","112.73"
"2007","Munger (Monghyr)","105.70"
"2007","Mwanza","109.72"
"2007","Mwene-Ditu","88.80"
"2007","Myingyan","81.78"
"2007","Mysore","119.76"
"2007","Naala-Porto","113.77"
"2007","Nabereznyje Telny","109.73"
"2007","Nador","105.74"
"2007","Nagaon","73.81"
"2007","Nagareyama","88.76"
"2007","Najafabad","139.69"
"2007","Naju","138.69"
"2007","Nakhon Sawan","142.69"
"2007","Nam Dinh","131.74"
"2007","Namibe","93.75"
"2007","Nantou","134.65"
"2007","Nanyang","91.79"
"2007","NDjamna","122.72"
"2007","Newcastle","93.80"
"2007","Nezahualcyotl","86.73"
"2007","Nha Trang","127.69"
"2007","Niznekamsk","67.86"
"2007","Novi Sad","102.77"
"2007","Novoterkassk","66.82"
"2007","Nukualofa","64.84"
"2007","Nuuk","119.72"
"2007","Nyeri","139.72"
"2007","Ocumare del Tuy","81.81"
"2007","Ogbomosho","108.76"
"2007","Okara","73.82"
"2007","Okayama","91.81"
"2007","Okinawa","92.79"
"2007","Olomouc","132.72"
"2007","Omdurman","144.70"
"2007","Omiya","133.71"
"2007","Ondo","89.77"
"2007","Onomichi","111.76"
"2007","Oshawa","87.79"
"2007","Osmaniye","131.73"
"2007","ostka","97.78"
"2007","Otsu","117.77"
"2007","Oulu","78.79"
"2007","Ourense (Orense)","158.65"
"2007","Owo","103.77"
"2007","Oyo","54.85"
"2007","Ozamis","122.74"
"2007","Paarl","78.80"
"2007","Pachuca de Soto","65.83"
"2007","Pak Kret","111.71"
"2007","Palghat (Palakkad)","96.79"
"2007","Pangkal Pinang","84.84"
"2007","Papeete","115.74"
"2007","Parbhani","123.74"
"2007","Pathankot","72.83"
"2007","Patiala","103.77"
"2007","Patras","73.78"
"2007","Pavlodar","74.79"
"2007","Pemalang","106.74"
"2007","Peoria","92.75"
"2007","Pereira","95.78"
"2007","Phnom Penh","86.75"
"2007","Pingxiang","86.80"
"2007","Pjatigorsk","119.74"
"2007","Plock","107.78"
"2007","Po","102.75"
"2007","Ponce","79.80"
"2007","Pontianak","123.72"
"2007","Poos de Caldas","107.70"
"2007","Portoviejo","114.73"
"2007","Probolinggo","152.68"
"2007","Pudukkottai","117.75"
"2007","Pune","100.72"
"2007","Purnea (Purnia)","125.74"
"2007","Purwakarta","81.83"
"2007","Pyongyang","107.71"
"2007","Qalyub","77.81"
"2007","Qinhuangdao","128.71"
"2007","Qomsheh","183.63"
"2007","Quilmes","117.76"
"2007","Rae Bareli","141.69"
"2007","Rajkot","95.80"
"2007","Rampur","93.78"
"2007","Rancagua","67.86"
"2007","Ranchi","75.80"
"2007","Richmond Hill","167.62"
"2007","Rio Claro","96.74"
"2007","Rizhao","82.81"
"2007","Roanoke","73.83"
"2007","Robamba","135.70"
"2007","Rockford","106.73"
"2007","Ruse","112.76"
"2007","Rustenburg","104.74"
"2007","s-Hertogenbosch","80.80"
"2007","Saarbrcken","78.78"
"2007","Sagamihara","99.77"
"2007","Saint-Denis","211.55"
"2007","Saint Louis","78.79"
"2007","Sal","94.81"
"2007","Salala","82.76"
"2007","Salamanca","130.72"
"2007","Salinas","96.79"
"2007","Salzburg","113.74"
"2007","Sambhal","86.79"
"2007","San Bernardino","123.74"
"2007","San Felipe de Puerto Plata","107.70"
"2007","San Felipe del Progreso","93.79"
"2007","San Juan Bautista Tuxtepec","98.75"
"2007","San Lorenzo","104.79"
"2007","San Miguel de Tucumn","77.77"
"2007","Sanaa","70.81"
"2007","Santa Brbara dOeste","194.61"
"2007","Santa F","105.78"
"2007","Santa Rosa","161.68"
"2007","Santiago de Compostela","62.84"
"2007","Santiago de los Caballeros","110.76"
"2007","Santo Andr","125.67"
"2007","Sanya","94.76"
"2007","Sasebo","114.70"
"2007","Satna","116.71"
"2007","Sawhaj","120.74"
"2007","Serpuhov","85.80"
"2007","Shahr-e Kord","79.80"
"2007","Shanwei","109.71"
"2007","Shaoguan","112.72"
"2007","Sharja","102.78"
"2007","Shenzhen","70.82"
"2007","Shikarpur","104.73"
"2007","Shimoga","86.81"
"2007","Shimonoseki","138.65"
"2007","Shivapuri","94.78"
"2007","Shubra al-Khayma","139.69"
"2007","Siegen","86.81"
"2007","Siliguri (Shiliguri)","130.70"
"2007","Simferopol","118.76"
"2007","Sincelejo","137.72"
"2007","Sirjan","80.83"
"2007","Sivas","108.75"
"2007","Skikda","151.68"
"2007","Smolensk","105.78"
"2007","So Bernardo do Campo","92.80"
"2007","So Leopoldo","93.79"
"2007","Sogamoso","105.78"
"2007","Sokoto","97.78"
"2007","Songkhla","146.68"
"2007","Sorocaba","113.71"
"2007","Soshanguve","107.73"
"2007","Sousse","73.78"
"2007","South Hill","99.68"
"2007","Southampton","117.77"
"2007","Southend-on-Sea","109.75"
"2007","Southport","72.82"
"2007","Springs","96.78"
"2007","Stara Zagora","81.76"
"2007","Sterling Heights","126.73"
"2007","Stockport","106.79"
"2007","Sucre","92.78"
"2007","Suihua","92.78"
"2007","Sullana","87.77"
"2007","Sultanbeyli","104.78"
"2007","Sumqayit","108.75"
"2007","Sumy","151.73"
"2007","Sungai Petani","119.72"
"2007","Sunnyvale","103.74"
"2007","Surakarta","85.75"
"2007","Syktyvkar","73.81"
"2007","Syrakusa","127.73"
"2007","Szkesfehrvr","111.71"
"2007","Tabora","102.75"
"2007","Tabriz","114.76"
"2007","Tabuk","81.80"
"2007","Tafuna","47.85"
"2007","Taguig","88.73"
"2007","Taizz","110.73"
"2007","Talavera","91.81"
"2007","Tallahassee","37.87"
"2007","Tama","93.76"
"2007","Tambaram","80.78"
"2007","Tanauan","156.66"
"2007","Tandil","101.70"
"2007","Tangail","146.68"
"2007","Tanshui","111.74"
"2007","Tanza","166.61"
"2007","Tarlac","63.84"
"2007","Tarsus","64.85"
"2007","Tartu","105.72"
"2007","Teboksary","63.79"
"2007","Tegal","66.81"
"2007","Tel Aviv-Jaffa","94.76"
"2007","Tete","58.82"
"2007","Tianjin","88.81"
"2007","Tiefa","113.74"
"2007","Tieli","78.82"
"2007","Tokat","130.68"
"2007","Tonghae","109.77"
"2007","Tongliao","104.71"
"2007","Torren","88.75"
"2007","Touliu","113.73"
"2007","Toulon","77.78"
"2007","Toulouse","118.70"
"2007","Trshavn","96.76"
"2007","Tsaotun","50.83"
"2007","Tsuyama","78.84"
"2007","Tuguegarao","90.78"
"2007","Tychy","132.65"
"2007","Udaipur","109.77"
"2007","Udine","68.82"
"2007","Ueda","99.72"
"2007","Uijongbu","103.74"
"2007","Uluberia","109.72"
"2007","Urawa","125.68"
"2007","Uruapan","143.68"
"2007","Usak","134.69"
"2007","Usolje-Sibirskoje","152.69"
"2007","Uttarpara-Kotrung","88.77"
"2007","Vaduz","99.74"
"2007","Valencia","84.80"
"2007","Valle de la Pascua","80.78"
"2007","Valle de Santiago","52.81"
"2007","Valparai","162.67"
"2007","Vancouver","126.73"
"2007","Varanasi (Benares)","97.77"
"2007","Vicente Lpez","100.75"
"2007","Vijayawada","121.77"
"2007","Vila Velha","141.71"
"2007","Vilnius","63.78"
"2007","Vinh","87.80"
"2007","Vitria de Santo Anto","98.75"
"2007","Warren","94.77"
"2007","Weifang","107.73"
"2007","Witten","91.78"
"2007","Wroclaw","135.72"
"2007","Xiangfan","110.68"
"2007","Xiangtan","86.80"
"2007","Xintai","82.78"
"2007","Xinxiang","95.76"
"2007","Yamuna Nagar","93.74"
"2007","Yangor","143.70"
"2007","Yantai","65.87"
"2007","Yaound","89.71"
"2007","Yerevan","118.75"
"2007","Yinchuan","128.73"
"2007","Yingkou","80.77"
"2007","York","121.73"
"2007","Yuncheng","110.73"
"2007","Yuzhou","95.78"
"2007","Zalantun","76.80"
"2007","Zanzibar","109.75"
"2007","Zaoyang","69.79"
"2007","Zapopan","68.84"
"2007","Zaria","86.77"
"2007","Zeleznogorsk","87.77"
"2007","Zhezqazghan","117.72"
"2007","Zhoushan","151.69"
"2007","Ziguinchor","95.76"
